"GOOG","Google Inc.",291.7B,882.31,26.40
"FB","Facebook, Inc.",58.803B,24.41,530.65
"AAPL","Apple Inc.",395.8B,418.49,9.99
"YHOO","Yahoo! Inc.",27.001B,24.99,7.25
"MSFT","Microsoft Corpora",281.3B,33.94,17.51
"LNKD","LinkedIn Corporat",20.119B,182.30,706.59
"CRM","Salesforce.com In",22.520B,38.17,N/A
